age,city,educ,exper,expersq,faminc,fatheduc,hours,husage,huseduc,hushrs,huswage,inlf,kidsge6,kidslt6,lwage,motheduc,mtr,nwifeinc,repwage,unem,wage
39,1,12,6,36,19151,12,640,40,12,2250,6.1498,1,5,0,1.643839359,12,0.7215,15.839,2.25,7.5,5.175
45,1,12,23,529,18100,7,2000,51,11,2024,6.917,1,0,0,0.6931472,7,0.6915,14.1,2.3,5,2
35,0,12,9,81,20300,7,1324,40,10,2123,4.7103,1,4,0,2.021931648,12,0.6915,10.29996109,3.94,5,7.5529
42,0,16,5,25,30419,16,2215,48,16,4160,3.131,1,2,0,1.254247546,10,0.6215,22.65498161,3.3,7.5,3.5052
30,0,12,11,121,14090,10,1680,35,12,2000,4,1,0,0,1.272957683,12,0.7215,8.090048,3.8,3,3.5714
48,1,13,18,324,22679,3,1600,52,17,2420,7.2227,1,0,0,1.178655,7,0.6615,17.479,3.26,5,3.25
45,0,12,15,225,12160,7,800,53,17,1150,7.9652,1,0,0,1.178655,7,0.7215,9.56,2.2,11,3.25
31,1,12,4,16,12487,7,1955,31,12,2024,4.0884,1,1,1,0.7675587,12,0.7515,8.274953,2.3,5,2.1545
43,1,17,21,441,29850,14,660,43,17,1904,14.181,1,2,0,1.331811786,16,0.5815,27.34998512,0,9.5,3.7879
59,1,12,31,961,18100,7,525,53,16,2448,6.5359,1,0,0,1.386294365,3,0.6915,16,3.18,9.5,4
32,1,12,9,81,26000,7,1904,33,13,2000,8.5,1,3,0,1.553269625,3,0.6615,16.99998283,6.07,11,4.7269
31,0,17,7,49,26100,12,1516,30,17,2390,6.2762,1,0,1,1.981814861,12,0.6215,15.10005569,6,5,7.2559
42,0,12,7,49,17730,12,346,47,10,1920,5.2083,1,0,0,1.769360423,12,0.7215,15.6999836,6.39,9.5,5.8671
50,1,11,32,1024,6719,7,1040,53,10,1840,2.7821,1,0,0,0.4308079,7,0.7515,5.11896,0,7.5,1.5385
59,1,16,11,121,18550,3,732,57,17,3360,4.9107,1,0,0,0.8997548,3,0.6915,16.75001144,2.5,14,2.459
36,0,13,16,256,24600,10,1880,35,13,2284,5.8669,1,2,0,1.766629696,12,0.6615,13.59993172,5.2,7.5,5.8511
51,1,12,14,196,23100,14,1680,50,8,1875,7.52,1,1,0,1.272957683,7,0.6915,17.10004807,3.29,5,3.5714
45,1,16,27,729,24656,12,2081,47,17,2140,7.5449,1,3,0,1.336788893,12,0.6615,16.73404884,4.19,5,3.8068
42,0,11,0,0,15897,3,690,44,8,1896,5.538,1,1,0,0.9017048,10,0.7515,14.19697762,0,7.5,2.4638
46,1,12,17,289,20320,3,4210,49,16,1040,6.9231,1,0,0,0.8651237,3,0.6915,10.3199873,4.63,11,2.3753
46,0,10,28,784,21384,3,2205,52,12,2200,5,1,1,0,1.511847138,10,0.6615,11.38410473,4.55,11,4.5351
51,0,14,24,576,25561,7,1952,58,12,1952,7.3064,1,0,0,1.726029158,7,0.6215,14.59407806,5.6,14,5.6183
30,1,17,11,121,36550,17,1302,30,17,1560,11.218,1,0,0,2.683142424,14,0.58,17.50043869,9.53,5,14.631
30,0,12,1,1,15810,12,112,33,16,4030,3.8462,1,2,1,0.9852943,12,0.7215,15.50999641,0,3,2.6786
57,1,12,14,196,25500,9,893,58,12,2570,5.8366,1,0,0,1.365938544,9,0.6215,21.9999752,3.5,7.5,3.9194
31,1,16,6,36,24000,16,583,34,16,1530,13.725,1,2,1,0.9450337,14,0.6615,22.5,9.98,9.5,2.5729
48,0,12,10,100,22172,3,480,48,8,3149,6.3493,1,2,0,1.512376189,3,0.6615,19.994,4.65,5,4.5375
30,0,12,6,36,17930,7,1900,32,12,2690,5.2528,1,3,0,0.6931472,12,0.7215,14.13,2.23,5,2
34,0,12,4,16,7000,7,576,33,12,3096,1.3075,1,2,0,1.244788408,12,0.7815,5.000013,3.84,3,3.4722
48,1,16,10,100,25300,16,2056,53,16,2552,2.7998,1,2,0,0.7011649,14,0.7215,21.15489769,0,5,2.0161
45,0,12,22,484,16212,10,1984,47,11,2040,2.6961,1,0,0,1.519863248,10,0.7215,7.141946,4.82,11,4.5716
51,0,12,16,256,22650,7,2640,50,13,2180,7.5688,1,0,0,0.8209686,7,0.6615,16.6500721,0,3,2.2727
30,0,12,6,36,6985,7,240,37,12,1864,3.4077,1,2,0,0.9698315,12,0.7815,6.352,0,14,2.6375
46,1,12,12,144,30000,7,1173,46,12,2068,6.5401,1,1,0,0.8285082,7,0.6915,27.31394768,2.5,11,2.2899
58,1,12,32,1024,18500,3,3640,58,12,2010,7.2139,1,0,0,0.09430964,7,0.6915,14.50000381,0,9.5,1.0989
37,0,12,15,225,16658,7,340,40,10,2152,6.2732,1,8,0,0.1625439,12,0.7515,16.25799,0,5,1.1765
52,1,8,17,289,10300,7,500,54,11,1496,5.8824,1,0,0,0.470003635,7,0.7515,9.5,0,5,1.6
52,0,10,34,1156,11000,3,1599,47,4,2100,3.8095,1,0,0,0.62924844,7,0.7515,7.999956,2.8,7.5,1.8762
31,1,16,9,81,19900,12,1830,35,14,1960,6.3776,1,0,0,1.397160172,12,0.6915,12.50002861,4.2,7.5,4.0437
55,1,14,37,1369,32500,7,1920,55,15,1985,6.0453,1,0,0,2.265443802,7,0.64,14.00003242,8.75,14,9.6354
34,1,17,10,100,37300,17,2052,33,17,2020,8.8119,1,0,0,2.084541,17,0.58,20.80007362,8.25,7.5,8.0409
55,1,14,35,1225,30018,7,2312,56,16,2178,8.8765,1,0,0,1.525838852,17,0.5815,19.38511276,5.58,11,4.599
39,1,12,6,36,12807,7,196,39,12,3684,3.342,1,2,0,0.7621601,12,0.7515,12.3869915,2.5,14,2.1429
40,0,14,19,361,39500,3,2500,42,13,5010,3.1836,1,3,0,1.481604576,14,0.5515,28.5,5.5,7.5,4.4
43,1,12,10,100,22050,12,1980,47,12,1880,6.9149,1,4,0,1.262826443,12,0.6915,15.04990864,3.75,9.5,3.5354
48,1,8,11,121,15500,7,1840,56,8,1904,5.5147,1,0,0,0.9996756,7,0.7215,10.49998379,4.8,14,2.7174
47,1,12,15,225,13810,7,320,47,12,2083,5.2808,1,0,0,1.83258152,7,0.7215,11.81,6.25,9.5,6.25
41,1,12,12,144,11950,7,419,44,12,2125,3.2,1,4,0,2.479307652,7,0.7515,6.950073,6.3,5,11.933
36,0,8,12,144,19175,12,1880,37,12,1985,5.8791,1,0,0,1.279015303,12,0.6915,12.41997147,3.75,7.5,3.5931
46,0,17,14,196,17900,16,72,48,17,2640,6.25,1,2,0,1.937935591,12,0.6915,17.40000343,0,7.5,6.9444
34,1,12,11,121,15850,7,120,51,8,2070,7.4879,1,0,0,1.070452809,12,0.7215,15.49999619,0,5,2.9167
41,1,12,9,81,27017,7,1885,48,8,2107,6.9767,1,3,0,1.123922586,7,0.6915,21.21704292,2.9,5,3.0769
51,0,12,24,576,18900,7,240,54,10,2250,8,1,1,0,1.321755886,12,0.6915,18,0,5,3.75
33,1,12,12,144,21800,12,1729,34,16,2880,4.1319,1,0,0,1.744999766,12,0.6915,11.89991856,4.76,7.5,5.7259
52,1,12,13,169,33552,10,1850,53,12,1848,14.476,1,0,0,1.301743627,10,0.5515,26.75195503,3.4,7.5,3.6757
58,1,9,29,841,22650,9,2033,53,7,1927,5.7343,1,0,0,1.641866446,7,0.6615,12.14996147,4.32,7.5,5.1648
34,1,10,11,121,15200,0,608,38,9,1304,3.3742,1,4,2,2.10702014,0,0.7915,10.19999,3,7.5,8.2237
31,1,12,13,169,13120,10,1153,35,12,3000,1.8333,1,1,0,1.467067599,7,0.7215,8.120015,4.52,7.5,4.3365
48,1,12,19,361,21660,14,2208,52,12,1892,5.6025,1,1,0,1.605811357,12,0.6615,10.65996456,5.31,5,4.9819
32,0,12,2,4,18190,7,252,32,12,3644,4.2975,1,2,0,-1.02973938,7,0.7215,18.10001,0,3,0.3571
49,1,17,24,576,9600,3,337,47,17,1430,3.9161,1,0,0,1.087686181,3,0.7515,8.599986,0,14,2.9674
32,1,15,9,81,13755,12,90,31,14,2350,4.8787,1,2,2,0,10,0.7515,13.665,0,7.5,1
58,1,12,6,36,35350,12,1174,59,16,1948,9.2402,1,0,0,0.9382087,7,0.6615,32.34996,4.87,7.5,2.5554
50,1,6,22,484,12405,7,372,42,12,1804,6.6519,1,0,0,-0.150590375,12,0.7215,12.08500576,2.25,7.5,0.8602
60,0,14,30,900,12180,17,30,51,12,2326,4.6217,1,0,0,0,12,0.7515,12.15,0,9.5,1
50,1,12,10,100,22962,3,1800,55,11,1739,9.9741,1,1,0,1.073670506,7,0.6615,17.69502,0,7.5,2.9261
56,1,14,6,36,25700,7,282,57,17,1176,20.918,1,0,0,1.265848398,7,0.6215,24.7,2.5,9.5,3.5461
51,0,9,29,841,3305,7,720,55,8,1100,1.94,1,0,0,0.486369,7,0.7915,2.133992,2.2,3,1.6264
54,1,17,29,841,32950,12,1440,58,17,1528,8.8351,1,1,0,2.120259523,7,0.5815,20.95004845,6,5,8.3333
59,1,13,36,1296,17000,7,2100,52,15,2250,4.6667,1,0,0,1.129852533,7,0.6915,10.50008,2.95,5,3.0952
46,1,9,19,361,13250,7,1000,47,10,1927,5.1894,1,2,0,0.9932518,7,0.7515,10.55,2.35,5,2.7
46,1,15,8,64,50750,12,952,47,16,2414,18.724,1,1,0,1.658628,7,0.4415,45.75,0,5,5.2521
39,0,12,13,169,15632,10,1413,49,8,768,10.417,1,3,1,0.3474122,10,0.7715,13.63204,2.2,14,1.4154
44,1,12,16,256,28316,0,2100,43,14,1984,8.8458,1,2,0,1.568324208,7,0.6215,18.23894,4.85,11,4.7986
33,1,12,11,121,17290,12,120,36,12,2246,7.569,1,0,2,0.5108456,12,0.7215,17.08999634,2.37,9.5,1.6667
33,1,12,15,225,33600,10,3000,30,17,3024,4.4507,1,2,1,0.114845432,10,0.6215,30.2349,0,7.5,1.1217
48,1,12,6,36,29200,7,1000,52,12,2921,9.3204,1,2,0,-0.6931472,12,0.6215,28.7,0,9,0.5
31,0,12,13,169,19870,7,336,37,17,2045,9.1687,1,4,0,-0.336452276,7,0.6915,19.62999535,0,11,0.7143
45,0,12,22,484,16225,7,1216,44,12,1928,6.4834,1,1,0,1.028225541,7,0.7215,12.82494259,2.9,11,2.7961
45,1,12,24,576,28600,3,988,44,10,1920,7.8125,1,1,0,1.580688596,7,0.6915,23.8,4.5,5,4.8583
32,1,13,2,4,30800,12,2581,37,17,2280,11.404,1,2,0,0.5558946,14,0.5815,26.30002594,2.6,7.5,1.7435
47,0,12,6,36,25700,7,2030,47,17,2300,5.087,1,0,0,0.9014207,7,0.6915,20.6999073,2.8,3,2.4631
34,0,13,2,4,27000,12,413,35,13,2480,6.9758,1,2,0,0.8843046,12,0.6215,26.00000381,3,3,2.4213
37,1,12,2,4,12077,7,782,34,10,1135,5.2863,1,1,0,0.4282046,12,0.7715,10.87702084,2.3,9.5,1.5345
36,0,12,14,196,29612,7,1388,39,12,1384,11.562,1,1,0,1.058415,7,0.6615,25.61206245,1.87,11,2.8818
47,1,12,9,81,24479,10,1450,50,14,1848,8.6061,1,2,1,0.8783396,7,0.6915,20.9889946,3,9.5,2.4069
48,1,16,11,121,79750,14,1720,46,17,2499,12.805,1,1,0,1.654908299,14,0.4415,70.74993,4.68,7.5,5.2326
42,0,12,9,81,20050,7,800,43,12,2390,6.6946,1,2,0,1.321755886,12,0.6915,17.05,2.5,11,3.75
33,1,13,6,36,21500,12,360,44,14,2400,8.3333,1,3,0,0.3285121,10,0.6915,20.99999619,0,11,1.3889
46,0,11,19,361,16120,7,2000,53,8,1920,4.1667,1,0,0,1.386294365,7,0.6915,8.12,4.61,5,4
47,0,12,26,676,24686,7,1176,48,13,2301,5.4759,1,3,0,1.172884583,7,0.7215,20.88599,3.35,9.5,3.2313
44,1,12,19,361,24669,10,2058,43,10,1944,5.144,1,1,0,1.224187136,7,0.6915,17.66891861,3.8,9.5,3.4014
36,1,12,3,9,26400,7,900,37,17,2100,11.667,1,4,0,0.287657082,7,0.6615,25.20003,2.2,7.5,1.3333
31,1,17,7,49,16245,12,215,32,16,1920,7.2917,1,0,2,2.230261803,12,0.7215,14.24500561,9.98,7.5,9.3023
55,1,14,28,784,23300,7,2000,55,14,2880,4.8611,1,0,0,1.504077435,7,0.6615,14.3,4.37,9.5,4.5
45,1,16,13,169,27200,7,757,48,16,1932,12.164,1,1,0,1.531152,12,0.6215,23.70001,4.5,9.5,4.6235
47,1,17,9,81,51000,17,1264,48,17,3234,10.823,1,0,0,1.375157595,10,0.4615,45.99999619,0,9.5,3.9557
46,1,12,15,225,55000,7,2064,47,12,2805,12.478,1,3,0,1.760268807,10,0.4615,42.99990463,6,14,5.814
49,1,11,20,400,15389,7,1280,52,9,2272,6.162,1,0,0,-0.6931472,7,0.7215,14.749,0,7.5,0.5
49,1,12,29,841,23150,7,1715,52,14,2227,7.1846,1,0,0,1.406489134,7,0.6615,16.15005493,3.75,9.5,4.0816
45,1,12,9,81,29774,10,2000,49,6,1720,7.093,1,2,0,1.791759491,7,0.6215,17.774,4.95,14,6
38,1,17,1,1,91044,10,12,38,13,2300,17.826,1,3,1,1.299292088,12,0.4415,91,0,14,3.6667
47,1,10,8,64,28200,12,1528,50,12,3410,6.393,1,0,0,1.351003885,7,0.5815,22.29993439,2.95,14,3.8613
54,1,13,19,361,36150,7,561,57,16,2304,11.719,1,3,0,1.01628089,7,0.5515,34.60001373,2.53,9.5,2.7629
41,0,11,23,529,15652,12,2058,42,12,1984,4.7883,1,0,0,1.075343609,12,0.7215,9.620002,2.9,7.5,2.931
43,0,12,3,9,18900,7,1823,33,14,1890,4.2328,1,2,0,1.478964686,14,0.7515,10.89994621,4.2,11,4.3884
31,0,16,13,169,23600,10,1680,32,12,1970,7.1066,1,1,1,1.689486742,12,0.6615,14.49994373,4.7,7.5,5.4167
47,1,17,8,64,36200,7,1440,46,12,2400,8.3333,1,0,0,2.288597822,7,0.61,22.00001526,7.1,7.5,9.8611
35,0,12,17,289,18700,10,4950,37,12,2504,6.9888,1,2,0,-1.822631121,10,0.6915,17.90008,2.75,7.5,0.1616
45,1,16,4,16,24125,7,1176,48,17,2398,9.5913,1,3,0,-0.9607652,7,0.6615,23.67506218,3.75,11,0.3826
33,0,12,15,225,15800,7,1100,39,12,1960,6.0204,1,0,1,1.290994167,7,0.7215,11.79996,3.58,7.5,3.6364
54,0,16,11,121,19742,7,1516,55,12,2550,2.9686,1,1,0,0.8648711,12,0.7215,16.14195442,2.4,3,2.3747
35,0,8,7,49,22600,7,900,41,12,2500,7,1,4,0,1.540452123,10,0.6915,18.39997,3.95,9.5,4.6667
31,0,12,0,0,17500,7,1080,37,10,2164,7.1627,1,2,1,0.6162121,7,0.7215,15.49994755,2.25,7.5,1.8519
55,0,12,0,0,19820,7,480,60,12,2640,4.7364,1,0,0,1.648658633,7,0.6915,17.324,0,7.5,5.2
34,1,12,10,100,20155,16,288,36,12,1936,8.781,1,2,0,1.193498135,12,0.6915,19.20500374,4.62,11,3.2986
38,1,13,8,64,37300,12,1875,41,12,2136,9.8315,1,1,0,2.143976212,10,0.58,21.30006218,8.5,7.5,8.5333
45,1,11,2,4,24860,7,630,51,10,1955,6.6496,1,1,0,0.7244036,7,0.7215,23.55999565,0,7.5,2.0635
47,1,12,4,16,21450,3,234,48,10,1980,9.8485,1,1,0,0.9416075,12,0.6615,20.85,2.5,7.5,2.5641
39,1,12,6,36,29650,7,1600,42,11,2550,9.8039,1,2,0,0.7827594,7,0.6215,26.15,0,5,2.1875
36,1,14,18,324,23000,7,960,37,13,2058,8.2604,1,0,1,1.83258152,7,0.6615,17,0,11,6.25
33,1,12,3,9,21120,7,120,32,14,2263,9.0676,1,2,1,1.203962803,7,0.6915,20.72000313,0,9,3.3333
50,1,12,22,484,26000,12,2025,54,13,1763,8.5082,1,0,0,1.491644859,7,0.6215,17.00009,4.8,5,4.4444
58,1,12,33,1089,28000,7,1809,59,14,2096,7.1565,1,0,0,1.89213264,3,0.6215,15.99999809,6.45,7.5,6.6335
49,1,17,28,784,45500,12,3087,47,13,2059,7.0423,1,0,0,2.130895,12,0.52,19.50005,9.98,11,8.4224
41,1,14,23,529,16000,12,910,40,17,1820,6.5934,1,2,0,1.480604,16,0.7215,12.00000381,0,14,4.3956
51,0,12,27,729,18232,14,1840,53,8,2832,4.3457,1,1,0,0.8943313,7,0.6915,13.73191166,2.5,11,2.4457
53,1,9,11,121,28160,7,784,60,10,1990,7.2362,1,0,0,0.202532545,3,0.7215,27.19999,2.25,14,1.2245
36,1,12,6,36,5965,7,400,40,7,2000,1.74,1,2,1,0.4855078,12,0.8015,5.315,0,11,1.625
46,1,12,11,121,19000,7,1000,46,12,1885,6.8966,1,2,0,1.098612309,7,0.7215,16,5.5,9.5,3
36,1,12,14,196,36872,12,1904,37,12,2860,5.0455,1,2,0,1.553269625,12,0.5515,27.87198257,4.2,11,4.7269
53,1,14,17,289,42000,12,1771,48,16,1913,17.25,1,1,0,0.121597968,12,0.4915,40.00001,9.98,14,1.1293
40,1,16,17,289,26900,14,1486,54,16,1800,8.3333,1,3,0,2.001804352,16,0.6215,15.90003395,6.25,11,7.4024
42,0,17,14,196,30800,10,740,45,16,2880,9.375,1,2,0,1.495036602,12,0.5815,27.49997,1.65,9,4.4595
33,1,15,11,121,21520,12,1820,32,16,1993,8.279,1,1,1,0.9052298,12,0.6915,17.02005,0,11,2.4725
43,1,12,7,49,24795,7,1275,47,14,2250,4.5,1,3,0,0.632547557,7,0.6915,22.39494,3,7.5,1.8824
31,1,16,8,64,12900,16,450,30,16,2286,4.1995,1,0,1,1.386294365,14,0.7215,11.1,4,14,4
47,1,17,6,36,42700,7,1221,47,16,1880,16.064,1,0,0,2.102913857,7,0.4915,32.70001221,5.99,7.5,8.19
54,1,17,8,64,38800,17,1550,58,17,2350,11.277,1,0,0,1.959644,10,0.5215,27.79996,6,11,7.0968
33,0,12,4,16,2500,3,180,33,11,3640,0.5494,1,3,1,0.5108456,7,0.9415,2.199994,0,3,1.6667
43,1,16,25,625,26921,10,2090,47,14,1770,9.548,1,0,0,1.236924,14,0.6215,19.72095,3.85,11,3.445
46,0,13,24,576,18300,9,1960,49,13,1875,5.3333,1,1,0,1.443312526,7,0.6915,9.999988,4.2,3,4.2347
35,1,12,11,121,17200,7,1440,38,9,2200,5.4545,1,3,0,1.021659255,7,0.7215,13.19996834,4.1,14,2.7778
37,1,11,19,361,14209,3,794,39,12,2033,5.9026,1,3,0,0.63615346,12,0.7515,12.70897484,3.85,9.5,1.8892
37,1,16,9,81,32300,16,993,39,17,2739,9.8576,1,2,0,1.61645329,12,0.5815,27.30004692,8.3,14,5.0352
34,1,14,19,361,21400,12,160,38,14,1626,11.685,1,3,0,0.223143548,17,0.7215,21.2,0,7.5,1.25
43,0,16,14,196,14700,7,105,44,17,2248,6.2278,1,0,1,1.049807072,7,0.7215,14.40000439,0,9.5,2.8571
46,1,12,22,484,25516,7,1200,48,12,2140,9.1748,1,0,0,1.415052,7,0.6215,20.57596,4.33,9.5,4.1167
35,1,9,6,36,13300,7,450,42,12,1985,6.2972,1,3,0,0.5753766,3,0.7515,12.49999,2.6,5,1.7778
46,1,17,23,529,31000,12,996,59,17,1528,10.471,1,0,0,2.606681585,12,0.5815,17.50021553,9.98,9.5,13.554
46,1,14,15,225,48800,3,1052,48,16,1920,14.583,1,0,0,1.517914534,7,0.4915,44.00004,4.9,11,4.5627
43,1,12,6,36,15519,7,1128,46,10,1918,6.2143,1,2,0,0.7550416,7,0.7215,13.11895466,2.4,14,2.1277
30,0,12,11,121,19500,7,1840,30,12,2112,6.6288,1,0,0,1.094972372,7,0.6915,14.00005627,3.75,7.5,2.9891
41,0,11,2,4,14545,7,1910,46,9,2144,3.8246,1,2,0,0.9421144,3,0.7215,9.645086,2.57,5,2.5654
54,1,12,22,484,22897,7,980,54,15,1920,7.8125,1,1,0,1.724942803,7,0.6915,17.39704514,5,14,5.6122
31,1,12,10,100,14300,10,2317,41,9,2241,3.4806,1,1,0,1.031546116,10,0.7215,7.799889,3.87,7.5,2.8054
44,1,10,14,196,14884,10,1089,47,11,880,5.55,1,0,0,0.4743691,10,0.7515,13.13397694,0,9.5,1.607
32,1,12,12,144,27400,7,800,31,16,2070,11.594,1,1,0,0.8109302,12,0.6215,25.6,0,11,2.25
47,1,5,9,81,16400,12,1230,53,5,1050,9.5238,1,0,0,0.7092666,7,0.7215,13.90002537,2.82,14,2.0325
46,0,17,13,169,25704,17,1158,57,17,2635,7.2805,1,1,0,1.710549474,14,0.6215,19.29794312,8.1,7.5,5.532
37,0,11,18,324,12800,10,2272,47,8,3000,3,1,0,0,0.4602689,10,0.7215,9.200016,3.71,7.5,1.5845
51,0,12,8,64,40000,7,528,50,11,2500,10.4,1,2,0,1.331811786,7,0.6215,37.99999,0,7.5,3.7879
49,1,12,11,121,47000,7,1000,49,12,1990,10.05,1,1,0,1.098612309,7,0.6615,44,0,14,3
36,1,14,9,81,25872,12,520,37,13,2390,8.7866,1,4,0,2.157998562,10,0.6615,21.37202454,0,9.5,8.6538
39,1,11,9,81,26868,7,760,44,12,1430,10.14,1,1,0,1.437581301,12,0.6915,23.66802,3.95,9.5,4.2105
48,1,12,14,196,18000,12,1920,50,8,1800,5,1,2,0,1.544899344,12,0.6915,9,4.3,9.5,4.6875
38,1,14,9,81,30200,7,1220,43,17,2103,11.888,1,2,0,1.410596728,7,0.5815,25.19995,4.84,5,4.0984
40,1,12,2,4,26220,7,200,42,12,1350,13.333,1,2,0,3.218876,7,0.6615,21.22,3,7.5,25
39,0,10,12,144,40500,7,2480,36,17,2880,8.6806,1,5,1,0.9681619,7,0.5815,33.96991348,4.2,3,2.6331
37,1,16,15,225,33570,7,2750,43,17,2400,7.2917,1,0,0,1.791759491,12,0.61,17.07,9,7.5,6
49,1,13,11,121,16917,14,2014,47,12,1135,3.5242,1,1,0,1.688729525,7,0.7215,6.016023636,4.05,14,5.4126
33,0,12,7,49,18000,7,1355,35,17,2750,6.1818,1,3,0,-0.409171969,12,0.7215,17.10001,1,9.5,0.6642
30,1,12,9,81,8337,12,80,32,16,2085,2.9755,1,0,0,0.223143548,12,0.7515,8.237,0,11,1.25
54,0,12,19,361,17100,7,1670,56,8,2600,4.5769,1,0,0,0.8221558,12,0.7215,13.30008221,2.1,9.5,2.2754
39,0,11,11,121,17800,7,520,40,12,3542,3.1056,1,4,0,1.241702,10,0.7515,16.00002098,3.05,11,3.4615
43,1,12,8,64,13740,12,288,43,12,1975,5.8228,1,3,0,1.427124381,12,0.7515,12.53999,3,14,4.1667
31,1,9,13,169,27000,3,2014,32,12,2400,7.5,1,3,0,1.497097492,10,0.6215,18.00003815,4.26,9.5,4.4687
33,1,13,4,16,32600,7,800,37,14,3000,8.3333,1,3,0,0.5596158,12,0.6215,31.2,0,7.5,1.75
40,1,12,7,49,28030,12,1984,39,14,1960,9.2347,1,3,0,1.300028205,12,0.6615,20.74991,4.25,14,3.6694
36,0,12,19,361,23100,12,1823,39,9,2000,5.5,1,1,0,1.884429812,12,0.6615,11.09992,6,3,6.5826
51,1,12,14,196,24580,7,1500,51,12,3000,6,1,0,0,0.9555114,7,0.6615,20.68,2,9.5,2.6
44,1,13,14,196,29000,7,2261,43,12,2400,6.6667,1,1,0,1.582087278,12,0.6215,18.00001,5.5,9.5,4.8651
42,1,16,3,9,42430,14,1728,48,14,2450,13.061,1,3,0,1.755614,12,0.5215,32.43006516,6.25,9.5,5.787
40,1,12,9,81,41800,12,1960,40,8,2423,12.794,1,1,0,1.513103247,12,0.5215,32.90003204,5,7.5,4.5408
34,1,16,7,49,39100,17,1578,33,16,2000,12,1,1,1,2.251891613,12,0.58,24.1000061,7.72,9.5,9.5057
30,1,17,7,49,31800,17,1316,41,16,2526,6.73,1,0,0,2.364432335,16,0.5815,17.80039215,7,11,10.638
54,0,12,14,196,22200,7,1530,53,12,2695,6.679,1,0,0,0.105350479,7,0.6915,20.50001717,1.13,14,1.1111
51,0,12,29,841,19500,7,2220,54,12,2048,4.3945,1,0,0,1.399728775,16,0.6915,10.49989796,4.37,3,4.0541
44,0,9,19,361,14027,10,1336,46,11,1920,4.6875,1,2,0,0.9884625,7,0.7515,10.43703461,2.64,11,2.6871
43,1,12,14,196,21195,7,1008,42,9,2338,7.6989,1,1,0,1.09064734,7,0.6615,18.19499,2.5,11,2.9762
34,0,12,16,256,19013,7,1944,37,8,2945,4.3287,1,1,0,1.154614449,10,0.6915,12.84507656,3.23,7.5,3.1728
45,1,13,10,100,20900,7,2000,52,12,2047,6.7416,1,0,0,1.266947627,12,0.6615,13.8,3.45,11,3.55
39,0,12,12,144,26820,3,258,47,7,1668,9.3525,1,0,0,2.885191679,10,0.6215,22.19999504,0,11,17.907
50,1,12,24,576,12800,0,1785,48,10,175,9.1429,1,0,0,1.22888,0,0.7515,6.699941,5.75,14,3.4174
52,0,12,6,36,7850,7,480,53,12,1798,2.6418,1,0,0,1.203962803,7,0.7515,6.250016,0,14,3.3333
41,1,12,9,81,18600,12,772,45,12,1222,7.365,1,2,0,1.357380271,12,0.7215,15.60000801,7.5,7.5,3.886
59,0,10,14,196,5380,7,900,59,7,1820,1.4066,1,0,0,0.8377236,12,0.7715,3.30001,2.22,5,2.3111
52,0,12,26,676,6114,7,1428,60,8,1560,1.5192,1,0,0,0.536961138,10,0.7715,3.670977592,2.5,14,1.7108
